,model,phase_strategy,bias,threshold,lr,initial_weights,neuron_outputs
10,Encoding,original,False,0.5,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,Encoding,original,True,0.5,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.5372314453125, 0.5408935546875, 0.5262451171875, 0.5289306640625, 0.529541015625, 0.520751953125, 0.532470703125, 0.5384521484375, 0.529296875, 0.5411376953125, 0.54248046875, 0.5284423828125, 0.54150390625, 0.54052734375, 0.5301513671875, 0.52783203125, 0.53857421875, 0.531005859375, 0.53515625, 0.525634765625, 0.5303955078125, 0.5235595703125, 0.5377197265625, 0.529052734375, 0.5430908203125, 0.533935546875, 0.537109375, 0.531982421875, 0.5325927734375, 0.53564453125, 0.5262451171875, 0.5289306640625, 0.539794921875, 0.5341796875, 0.5380859375]"
12,Encoding,original,False,0.7,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,Encoding,original,True,0.7,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Encoding,original,False,0.7,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,Encoding,original,True,0.7,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Encoding,original,False,0.9,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Encoding,original,True,0.9,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Encoding,original,False,0.9,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Encoding,original,True,0.9,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
