Unnamed: 0,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs
31,HSGS,original,0.7,True,0.1,0.5229062010283453,"[0.0, 0.2462158203125, 1.0, 0.246337890625, 0.0, 0.2513427734375, 1.0, 0.2481689453125, 0.0, 0.2457275390625, 1.0, 0.250732421875, 0.0, 0.2479248046875, 1.0, 0.2469482421875, 0.0, 0.252685546875, 1.0, 0.2523193359375]"
32,HSGS,original,0.8,False,0.02,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
33,HSGS,original,0.8,True,0.02,0.5229062010283453,"[0.0, 0.25244140625, 1.0, 0.24951171875, 0.0, 0.2501220703125, 1.0, 0.24560546875, 0.0, 0.2523193359375, 1.0, 0.254150390625, 0.0, 0.253173828125, 1.0, 0.2537841796875, 0.0, 0.2520751953125, 1.0, 0.25341796875]"
34,HSGS,original,0.8,False,0.1,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
35,HSGS,original,0.8,True,0.1,0.5229062010283453,"[0.0, 0.2457275390625, 1.0, 0.2464599609375, 0.0, 0.254150390625, 1.0, 0.2603759765625, 0.0, 0.260986328125, 1.0, 0.2525634765625, 0.0, 0.2518310546875, 1.0, 0.25244140625, 0.0, 0.2509765625, 1.0, 0.2462158203125]"
36,HSGS,original,0.9,False,0.02,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
37,HSGS,original,0.9,True,0.02,0.5229062010283453,"[0.0, 0.2510986328125, 1.0, 0.241455078125, 0.0, 0.255615234375, 1.0, 0.2509765625, 0.0, 0.2449951171875, 1.0, 0.252685546875, 0.0, 0.250732421875, 1.0, 0.2491455078125, 0.0, 0.24462890625, 1.0, 0.2491455078125]"
38,HSGS,original,0.9,False,0.1,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
39,HSGS,original,0.9,True,0.1,0.5229062010283453,"[0.0, 0.2406005859375, 1.0, 0.251953125, 0.0, 0.2664794921875, 1.0, 0.252197265625, 0.0, 0.2476806640625, 1.0, 0.244140625, 0.0, 0.24658203125, 1.0, 0.2513427734375, 0.0, 0.2525634765625, 1.0, 0.2403564453125]"
0,phase-encoding,original,0.3,False,0.02,0.4148859784394432,"[0.6300048828125, 0.626220703125, 0.62744140625, 0.6270751953125, 0.6292724609375, 0.6322021484375, 0.626708984375, 0.633544921875, 0.6358642578125, 0.6341552734375, 0.639404296875, 0.63037109375, 0.6434326171875, 0.634521484375, 0.634033203125, 0.6343994140625, 0.625732421875, 0.628173828125, 0.6409912109375, 0.63427734375]"
1,phase-encoding,original,0.3,True,0.02,0.4148859784394432,"[0.6307373046875, 0.633056640625, 0.6395263671875, 0.6361083984375, 0.6251220703125, 0.634033203125, 0.6348876953125, 0.623291015625, 0.640380859375, 0.6396484375, 0.6368408203125, 0.6292724609375, 0.6343994140625, 0.636962890625, 0.636962890625, 0.635009765625, 0.6243896484375, 0.640869140625, 0.63232421875, 0.643798828125]"
2,phase-encoding,original,0.3,False,0.1,0.4148859784394432,"[0.635009765625, 0.6348876953125, 0.6241455078125, 0.6322021484375, 0.634521484375, 0.634521484375, 0.6358642578125, 0.6397705078125, 0.6339111328125, 0.634033203125, 0.6402587890625, 0.635009765625, 0.6396484375, 0.63916015625, 0.64794921875, 0.62353515625, 0.6339111328125, 0.6251220703125, 0.6331787109375, 0.6298828125]"
3,phase-encoding,original,0.3,True,0.1,0.4148859784394432,"[0.6185302734375, 0.642333984375, 0.629638671875, 0.6290283203125, 0.6424560546875, 0.6324462890625, 0.6361083984375, 0.6324462890625, 0.6361083984375, 0.6365966796875, 0.6285400390625, 0.6326904296875, 0.6400146484375, 0.6390380859375, 0.6356201171875, 0.63037109375, 0.627685546875, 0.63916015625, 0.6405029296875, 0.6339111328125]"
4,phase-encoding,original,0.5,False,0.02,0.4148859784394432,"[0.6334228515625, 0.6287841796875, 0.6324462890625, 0.628173828125, 0.6361083984375, 0.635009765625, 0.63427734375, 0.6416015625, 0.62744140625, 0.6287841796875, 0.63525390625, 0.6295166015625, 0.6392822265625, 0.6373291015625, 0.6319580078125, 0.628173828125, 0.6314697265625, 0.641845703125, 0.6304931640625, 0.6416015625]"
5,phase-encoding,original,0.5,True,0.02,0.4148859784394432,"[0.6380615234375, 0.639892578125, 0.634765625, 0.6376953125, 0.635009765625, 0.6346435546875, 0.6385498046875, 0.635986328125, 0.6334228515625, 0.6253662109375, 0.6346435546875, 0.6275634765625, 0.63330078125, 0.6387939453125, 0.6357421875, 0.6318359375, 0.632080078125, 0.636962890625, 0.6395263671875, 0.6357421875]"
6,phase-encoding,original,0.5,False,0.1,0.4148859784394432,"[0.6358642578125, 0.629638671875, 0.6317138671875, 0.62841796875, 0.6300048828125, 0.63525390625, 0.641845703125, 0.6282958984375, 0.6395263671875, 0.633544921875, 0.6392822265625, 0.62939453125, 0.6280517578125, 0.64111328125, 0.6280517578125, 0.6444091796875, 0.6339111328125, 0.638671875, 0.6385498046875, 0.6318359375]"
7,phase-encoding,original,0.5,True,0.1,0.4148859784394432,"[0.6356201171875, 0.631103515625, 0.6314697265625, 0.628662109375, 0.6282958984375, 0.640625, 0.6265869140625, 0.639892578125, 0.63232421875, 0.6373291015625, 0.631591796875, 0.634033203125, 0.629638671875, 0.6334228515625, 0.640380859375, 0.634033203125, 0.6341552734375, 0.63427734375, 0.6353759765625, 0.6358642578125]"
8,phase-encoding,original,0.7,False,0.02,0.4148859784394432,"[0.6331787109375, 0.6328125, 0.6309814453125, 0.6328125, 0.63720703125, 0.6385498046875, 0.639404296875, 0.6297607421875, 0.6357421875, 0.6292724609375, 0.6395263671875, 0.630615234375, 0.6414794921875, 0.6259765625, 0.6334228515625, 0.6300048828125, 0.6290283203125, 0.6358642578125, 0.638671875, 0.6298828125]"
9,phase-encoding,original,0.7,True,0.02,0.4148859784394432,"[0.634765625, 0.6412353515625, 0.6380615234375, 0.64306640625, 0.6337890625, 0.63671875, 0.6334228515625, 0.632568359375, 0.6285400390625, 0.6318359375, 0.62841796875, 0.6204833984375, 0.63134765625, 0.6268310546875, 0.63623046875, 0.626220703125, 0.631103515625, 0.6376953125, 0.64404296875, 0.6416015625]"
10,phase-encoding,original,0.7,False,0.1,0.4148859784394432,"[0.638427734375, 0.6334228515625, 0.6409912109375, 0.62646484375, 0.630615234375, 0.625732421875, 0.63818359375, 0.630859375, 0.632568359375, 0.6348876953125, 0.6385498046875, 0.6278076171875, 0.6502685546875, 0.635498046875, 0.62939453125, 0.6390380859375, 0.6275634765625, 0.6279296875, 0.63525390625, 0.6273193359375]"
11,phase-encoding,original,0.7,True,0.1,0.4148859784394432,"[0.63427734375, 0.62890625, 0.640625, 0.6375732421875, 0.6280517578125, 0.6329345703125, 0.62744140625, 0.634765625, 0.62939453125, 0.636474609375, 0.6376953125, 0.6279296875, 0.6339111328125, 0.634521484375, 0.62939453125, 0.6444091796875, 0.6304931640625, 0.6273193359375, 0.628173828125, 0.6343994140625]"
12,phase-encoding,original,0.9,False,0.02,0.4148859784394432,"[0.6309814453125, 0.6287841796875, 0.6375732421875, 0.635009765625, 0.643310546875, 0.63720703125, 0.6256103515625, 0.635009765625, 0.6343994140625, 0.638916015625, 0.63037109375, 0.638427734375, 0.6287841796875, 0.639404296875, 0.6341552734375, 0.6270751953125, 0.6370849609375, 0.6285400390625, 0.6405029296875, 0.63916015625]"
13,phase-encoding,original,0.9,True,0.02,0.4148859784394432,"[0.6280517578125, 0.62890625, 0.632568359375, 0.625732421875, 0.6448974609375, 0.6265869140625, 0.632568359375, 0.6453857421875, 0.6436767578125, 0.6217041015625, 0.6307373046875, 0.6285400390625, 0.6329345703125, 0.634033203125, 0.6251220703125, 0.6336669921875, 0.628662109375, 0.635009765625, 0.6416015625, 0.6302490234375]"
