,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs,circuit_size
33,phase-encoding,angle,0.8,True,0.02,0.5384958704104337,"[0.8681640625, 0.9111328125, 0.8685302734375, 0.9114990234375, 0.8623046875, 0.9071044921875, 0.872802734375, 0.9063720703125, 0.85693359375, 0.914794921875, 0.866943359375, 0.9149169921875, 0.869140625, 0.9129638671875, 0.87548828125, 0.912109375, 0.8602294921875, 0.91015625, 0.866943359375, 0.9100341796875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
34,phase-encoding,angle,0.8,False,0.1,0.5384958704104337,"[0.9971923828125, 0.06787109375, 0.6610107421875, 0.6602783203125, 0.9971923828125, 0.0748291015625, 0.654541015625, 0.654541015625, 0.9979248046875, 0.07275390625, 0.6624755859375, 0.666015625, 0.9969482421875, 0.077392578125, 0.6590576171875, 0.6585693359375, 0.996826171875, 0.0789794921875, 0.6663818359375, 0.6495361328125]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
35,phase-encoding,angle,0.8,True,0.1,0.5384958704104337,"[0.9598388671875, 0.785888671875, 0.9625244140625, 0.7891845703125, 0.9627685546875, 0.7855224609375, 0.9638671875, 0.7861328125, 0.961669921875, 0.7891845703125, 0.959228515625, 0.7838134765625, 0.9605712890625, 0.7939453125, 0.96044921875, 0.7833251953125, 0.961669921875, 0.7930908203125, 0.962158203125, 0.789794921875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
36,phase-encoding,angle,0.9,False,0.02,0.5384958704104337,"[0.9224853515625, 0.240478515625, 0.859375, 0.857666015625, 0.921630859375, 0.2425537109375, 0.8580322265625, 0.8602294921875, 0.9195556640625, 0.2349853515625, 0.8583984375, 0.8531494140625, 0.919921875, 0.2388916015625, 0.8514404296875, 0.8626708984375, 0.91845703125, 0.2457275390625, 0.8568115234375, 0.855224609375]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
37,phase-encoding,angle,0.9,True,0.02,0.5384958704104337,"[0.909912109375, 0.8704833984375, 0.9130859375, 0.8707275390625, 0.907470703125, 0.8662109375, 0.9107666015625, 0.8714599609375, 0.912353515625, 0.866455078125, 0.9049072265625, 0.8731689453125, 0.9122314453125, 0.8717041015625, 0.9090576171875, 0.86328125, 0.9111328125, 0.8714599609375, 0.9111328125, 0.858154296875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
38,phase-encoding,angle,0.9,False,0.1,0.5384958704104337,"[0.9757080078125, 0.129150390625, 0.74609375, 0.74951171875, 0.9761962890625, 0.13134765625, 0.7550048828125, 0.7540283203125, 0.9769287109375, 0.1368408203125, 0.74951171875, 0.7564697265625, 0.9774169921875, 0.136474609375, 0.747802734375, 0.7569580078125, 0.9786376953125, 0.136962890625, 0.7528076171875, 0.7501220703125]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
39,phase-encoding,angle,0.9,True,0.1,0.5384958704104337,"[0.9879150390625, 0.7247314453125, 0.9879150390625, 0.7255859375, 0.98681640625, 0.7208251953125, 0.9871826171875, 0.72021484375, 0.986572265625, 0.7130126953125, 0.9879150390625, 0.721923828125, 0.9873046875, 0.7154541015625, 0.9891357421875, 0.7159423828125, 0.98876953125, 0.7166748046875, 0.9852294921875, 0.7119140625]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
40,phase-encoding,radius,0.3,False,0.02,0.5384958704104337,"[0.5440673828125, 0.0252685546875, 0.0277099609375, 0.5433349609375, 0.5377197265625, 0.0235595703125, 0.0247802734375, 0.5438232421875, 0.556396484375, 0.022216796875, 0.0233154296875, 0.550048828125, 0.5457763671875, 0.0247802734375, 0.025146484375, 0.5439453125, 0.53564453125, 0.02294921875, 0.0245361328125, 0.5496826171875]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
41,phase-encoding,radius,0.3,True,0.02,0.5384958704104337,"[0.266357421875, 0.253173828125, 0.259033203125, 0.2608642578125, 0.2579345703125, 0.263427734375, 0.2537841796875, 0.256103515625, 0.2510986328125, 0.256103515625, 0.2591552734375, 0.2646484375, 0.2559814453125, 0.2529296875, 0.256103515625, 0.2620849609375, 0.2559814453125, 0.2506103515625, 0.2593994140625, 0.2540283203125]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
42,phase-encoding,radius,0.3,False,0.1,0.5384958704104337,"[0.538818359375, 0.0244140625, 0.024169921875, 0.5423583984375, 0.5531005859375, 0.02587890625, 0.0234375, 0.5457763671875, 0.5594482421875, 0.0242919921875, 0.025390625, 0.5482177734375, 0.5423583984375, 0.023681640625, 0.0234375, 0.5394287109375, 0.5477294921875, 0.0269775390625, 0.0247802734375, 0.5428466796875]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
43,phase-encoding,radius,0.3,True,0.1,0.5384958704104337,"[0.21044921875, 0.2176513671875, 0.219970703125, 0.2147216796875, 0.218017578125, 0.216064453125, 0.2181396484375, 0.222900390625, 0.2159423828125, 0.2196044921875, 0.2203369140625, 0.2247314453125, 0.219970703125, 0.215087890625, 0.2291259765625, 0.2137451171875, 0.216552734375, 0.2135009765625, 0.219482421875, 0.228515625]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
44,phase-encoding,radius,0.5,False,0.02,0.5384958704104337,"[0.5377197265625, 0.0238037109375, 0.022705078125, 0.5435791015625, 0.5496826171875, 0.0260009765625, 0.0250244140625, 0.543701171875, 0.549560546875, 0.0247802734375, 0.0252685546875, 0.547607421875, 0.5484619140625, 0.02587890625, 0.0235595703125, 0.5562744140625, 0.553955078125, 0.0252685546875, 0.02587890625, 0.5400390625]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
45,phase-encoding,radius,0.5,True,0.02,0.5384958704104337,"[0.4708251953125, 0.480224609375, 0.4781494140625, 0.470947265625, 0.474609375, 0.4783935546875, 0.472900390625, 0.487548828125, 0.48974609375, 0.4853515625, 0.4825439453125, 0.4769287109375, 0.476806640625, 0.47998046875, 0.4822998046875, 0.48583984375, 0.4757080078125, 0.486572265625, 0.47900390625, 0.4752197265625]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
46,phase-encoding,radius,0.5,False,0.1,0.5384958704104337,"[0.546875, 0.02197265625, 0.0235595703125, 0.5452880859375, 0.5406494140625, 0.0225830078125, 0.0216064453125, 0.549072265625, 0.5426025390625, 0.0255126953125, 0.025634765625, 0.55126953125, 0.547119140625, 0.0238037109375, 0.0250244140625, 0.5556640625, 0.5399169921875, 0.02294921875, 0.0235595703125, 0.5546875]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
47,phase-encoding,radius,0.5,True,0.1,0.5384958704104337,"[0.4246826171875, 0.43359375, 0.4312744140625, 0.432373046875, 0.436279296875, 0.423828125, 0.43505859375, 0.4356689453125, 0.4305419921875, 0.4208984375, 0.431640625, 0.436767578125, 0.4180908203125, 0.4307861328125, 0.4315185546875, 0.4263916015625, 0.429931640625, 0.4329833984375, 0.43310546875, 0.4295654296875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
