,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding
42,1.0,0.14453125,0.6875,0.6416015625
43,1.0,0.6376953125,0.5087890625,0.943359375
44,1.0,0.0869140625,0.556640625,0.55859375
45,1.0,0.505859375,0.7861328125,0.5859375
46,1.0,0.0986328125,0.6064453125,0.5625
47,1.0,0.2861328125,0.4541015625,0.83203125
48,1.0,0.3525390625,0.65234375,0.6826171875
49,1.0,0.3232421875,0.46484375,0.693359375
50,1.0,0.38671875,0.509765625,0.5771484375
51,1.0,0.3974609375,0.4716796875,0.546875
52,1.0,0.318359375,0.447265625,0.59765625
53,1.0,0.1201171875,0.5791015625,0.8427734375
54,1.0,0.361328125,0.73046875,0.5830078125
55,1.0,0.1630859375,0.671875,0.900390625
56,1.0,0.341796875,0.7177734375,0.5673828125
57,1.0,0.138671875,0.53125,0.681640625
58,1.0,0.197265625,0.8076171875,0.7265625
59,1.0,0.306640625,0.62890625,0.626953125
60,1.0,0.2919921875,0.72265625,0.5625
61,1.0,0.7109375,0.45703125,0.8837890625
62,1.0,0.4365234375,0.8203125,0.595703125
63,1.0,0.841796875,0.5771484375,0.7138671875
64,1.0,0.3896484375,0.7197265625,0.595703125
65,1.0,0.19140625,0.7607421875,0.8046875
66,1.0,0.466796875,0.806640625,0.6435546875
67,1.0,0.369140625,0.7177734375,0.5810546875
68,1.0,0.6240234375,0.490234375,0.92578125
69,1.0,0.0859375,0.5888671875,0.6044921875
70,1.0,0.28125,0.744140625,0.67578125
71,1.0,0.3017578125,0.67578125,0.572265625
72,1.0,0.2919921875,0.740234375,0.658203125
73,1.0,0.720703125,0.591796875,0.783203125
74,1.0,0.138671875,0.6572265625,0.603515625
75,1.0,0.8330078125,0.568359375,0.642578125
76,1.0,0.185546875,0.6728515625,0.63671875
77,1.0,0.701171875,0.5009765625,0.802734375
78,1.0,0.10546875,0.642578125,0.62109375
79,1.0,0.384765625,0.65625,0.5888671875
80,1.0,0.7236328125,0.638671875,0.6455078125
81,1.0,0.412109375,0.7919921875,0.76953125
82,1.0,0.3251953125,0.412109375,0.84765625
83,1.0,0.365234375,0.77734375,0.5888671875
84,1.0,0.3876953125,0.724609375,0.5625
85,1.0,0.2861328125,0.5263671875,0.8349609375
86,1.0,0.462890625,0.7001953125,0.57421875
87,1.0,0.693359375,0.6318359375,0.662109375
88,1.0,0.17578125,0.708984375,0.732421875
89,1.0,0.08984375,0.56640625,0.595703125
90,1.0,0.3701171875,0.4482421875,0.6796875
91,1.0,0.166015625,0.6201171875,0.57421875
92,1.0,0.3310546875,0.404296875,0.9091796875
93,1.0,0.1416015625,0.580078125,0.5849609375
94,1.0,0.8427734375,0.53515625,0.734375
95,1.0,0.376953125,0.6494140625,0.548828125
96,1.0,0.14453125,0.693359375,0.5908203125
97,1.0,0.203125,0.7744140625,0.8984375
98,1.0,0.0986328125,0.5263671875,0.83203125
99,1.0,0.328125,0.4853515625,0.7900390625
100,1.0,0.615234375,0.490234375,0.853515625
