,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding,target
464,1.0,0.3974609375,0.677734375,0.56640625,0
465,1.0,0.19921875,0.7607421875,0.7998046875,0
466,1.0,0.4462890625,0.8251953125,0.650390625,0
467,1.0,0.3427734375,0.7158203125,0.5703125,0
468,1.0,0.611328125,0.46484375,0.931640625,0
469,1.0,0.099609375,0.5810546875,0.6142578125,0
470,1.0,0.287109375,0.7314453125,0.7001953125,0
471,1.0,0.3056640625,0.671875,0.583984375,0
472,1.0,0.3115234375,0.7001953125,0.6357421875,0
473,1.0,0.6982421875,0.6005859375,0.767578125,0
474,1.0,0.1416015625,0.6640625,0.5888671875,0
475,1.0,0.841796875,0.5771484375,0.6474609375,0
476,1.0,0.177734375,0.693359375,0.65625,0
477,1.0,0.7314453125,0.5126953125,0.806640625,0
478,1.0,0.0888671875,0.6474609375,0.6787109375,0
479,1.0,0.3564453125,0.666015625,0.5673828125,0
480,1.0,0.7607421875,0.6328125,0.654296875,0
481,1.0,0.4521484375,0.7890625,0.78515625,0
482,1.0,0.341796875,0.3681640625,0.8388671875,0
483,1.0,0.345703125,0.7861328125,0.5947265625,0
484,1.0,0.388671875,0.7158203125,0.6064453125,0
485,1.0,0.2978515625,0.5400390625,0.833984375,0
486,1.0,0.4638671875,0.6865234375,0.5458984375,0
487,1.0,0.732421875,0.6064453125,0.6806640625,0
488,1.0,0.19921875,0.7158203125,0.75390625,0
489,1.0,0.1005859375,0.576171875,0.6025390625,0
490,1.0,0.3896484375,0.455078125,0.6494140625,0
491,1.0,0.1533203125,0.6328125,0.5498046875,0
492,1.0,0.3076171875,0.3984375,0.9228515625,0
493,1.0,0.1455078125,0.5478515625,0.58984375,0
494,1.0,0.8466796875,0.521484375,0.7451171875,0
495,1.0,0.41015625,0.646484375,0.61328125,0
496,1.0,0.126953125,0.6513671875,0.5751953125,0
497,1.0,0.201171875,0.759765625,0.900390625,0
498,1.0,0.09375,0.53125,0.8359375,0
499,1.0,0.3173828125,0.470703125,0.767578125,0
500,1.0,0.5986328125,0.5126953125,0.82421875,1
501,1.0,0.6201171875,0.4130859375,0.9873046875,1
502,1.0,0.6298828125,0.5458984375,0.8798828125,1
503,1.0,0.625,0.56640625,0.7734375,1
504,1.0,0.634765625,0.5517578125,0.7822265625,1
505,1.0,0.6357421875,0.5263671875,0.7841796875,1
506,1.0,0.6328125,0.451171875,0.79296875,1
507,1.0,0.619140625,0.4775390625,0.8740234375,1
508,1.0,0.623046875,0.4658203125,0.9736328125,1
509,1.0,0.65234375,0.4091796875,0.990234375,1
510,1.0,0.6357421875,0.5556640625,0.80078125,1
511,1.0,0.6416015625,0.365234375,1.0,1
512,1.0,0.6142578125,0.3935546875,0.9853515625,1
513,1.0,0.6396484375,0.458984375,0.9521484375,1
514,1.0,0.6318359375,0.5830078125,0.69140625,1
515,1.0,0.615234375,0.521484375,0.8779296875,1
516,1.0,0.634765625,0.373046875,0.9931640625,1
517,1.0,0.634765625,0.4404296875,1.0,1
518,1.0,0.625,0.5517578125,0.8837890625,1
519,1.0,0.62109375,0.5185546875,0.859375,1
520,1.0,0.646484375,0.556640625,0.8623046875,1
521,1.0,0.6435546875,0.5126953125,0.8759765625,1
522,1.0,0.6220703125,0.5908203125,0.7783203125,1
523,1.0,0.6416015625,0.466796875,0.9619140625,1
524,1.0,0.658203125,0.474609375,0.9482421875,1
525,1.0,0.6103515625,0.46484375,0.919921875,1
526,1.0,0.6064453125,0.3388671875,0.97265625,1
527,1.0,0.607421875,0.57421875,0.6162109375,1
528,1.0,0.63671875,0.5029296875,0.87109375,1
529,1.0,0.607421875,0.421875,0.9560546875,1
530,1.0,0.623046875,0.5458984375,0.7939453125,1
531,1.0,0.634765625,0.396484375,1.0,1
532,1.0,0.6064453125,0.404296875,0.9921875,1
533,1.0,0.603515625,0.4365234375,0.9755859375,1
534,1.0,0.6181640625,0.46875,0.9375,1
535,1.0,0.615234375,0.4951171875,0.931640625,1
536,1.0,0.6181640625,0.369140625,1.0,1
537,1.0,0.6376953125,0.4384765625,0.9638671875,1
538,1.0,0.61328125,0.56640625,0.796875,1
539,1.0,0.619140625,0.4423828125,0.9384765625,1
540,1.0,0.625,0.4453125,0.9716796875,1
541,1.0,0.6025390625,0.37109375,1.0,1
542,1.0,0.609375,0.53125,0.8154296875,1
543,1.0,0.625,0.4541015625,0.94140625,1
544,1.0,0.57421875,0.5302734375,0.8486328125,1
545,1.0,0.6533203125,0.39453125,0.9853515625,1
546,1.0,0.6298828125,0.48046875,0.8583984375,1
547,1.0,0.62109375,0.5556640625,0.6435546875,1
548,1.0,0.611328125,0.400390625,0.9677734375,1
549,1.0,0.62109375,0.4228515625,0.990234375,1
550,1.0,0.6201171875,0.4765625,0.923828125,1
551,1.0,0.6220703125,0.41796875,0.9970703125,1
552,1.0,0.6103515625,0.439453125,0.9736328125,1
553,1.0,0.61328125,0.4287109375,0.8701171875,1
554,1.0,0.6162109375,0.3798828125,0.99609375,1
555,1.0,0.6142578125,0.5771484375,0.7236328125,1
556,1.0,0.62890625,0.3974609375,0.962890625,1
557,1.0,0.62109375,0.4453125,0.9677734375,1
558,1.0,0.5986328125,0.5673828125,0.7138671875,1
559,1.0,0.6142578125,0.5546875,0.666015625,1
560,1.0,0.6220703125,0.3701171875,0.9970703125,1
561,1.0,0.6455078125,0.5224609375,0.86328125,1
562,1.0,0.6337890625,0.435546875,0.9853515625,1
563,1.0,0.5927734375,0.57421875,0.73046875,1
564,1.0,0.6396484375,0.55078125,0.873046875,1
565,1.0,0.5927734375,0.498046875,0.8623046875,1
566,1.0,0.6240234375,0.5419921875,0.8623046875,1
567,1.0,0.6162109375,0.4609375,0.9482421875,1
568,1.0,0.6142578125,0.474609375,0.859375,1
569,1.0,0.5908203125,0.361328125,0.998046875,1
570,1.0,0.6044921875,0.4521484375,0.982421875,1
571,1.0,0.6142578125,0.4130859375,0.9345703125,1
572,1.0,0.609375,0.4794921875,0.9599609375,1
573,1.0,0.6396484375,0.482421875,0.8525390625,1
574,1.0,0.6171875,0.4443359375,0.9912109375,1
575,1.0,0.609375,0.45703125,0.9814453125,1
576,1.0,0.603515625,0.47265625,0.9677734375,1
577,1.0,0.638671875,0.373046875,0.9921875,1
578,1.0,0.611328125,0.45703125,0.986328125,1
579,1.0,0.6318359375,0.525390625,0.7373046875,1
580,1.0,0.59765625,0.47265625,0.939453125,1
581,1.0,0.607421875,0.4638671875,0.9267578125,1
582,1.0,0.6259765625,0.5302734375,0.7880859375,1
583,1.0,0.591796875,0.505859375,0.830078125,1
584,1.0,0.619140625,0.4404296875,0.9697265625,1
585,1.0,0.5927734375,0.3505859375,1.0,1
586,1.0,0.611328125,0.4560546875,0.853515625,1
587,1.0,0.619140625,0.5244140625,0.8544921875,1
588,1.0,0.603515625,0.3896484375,1.0,1
589,1.0,0.6298828125,0.37890625,0.9990234375,1
590,1.0,0.61328125,0.5166015625,0.8603515625,1
591,1.0,0.6083984375,0.4541015625,0.9267578125,1
592,1.0,0.5947265625,0.3203125,0.9462890625,1
593,1.0,0.638671875,0.48828125,0.9189453125,1
594,1.0,0.6142578125,0.5595703125,0.818359375,1
595,1.0,0.6064453125,0.548828125,0.8935546875,1
596,1.0,0.6181640625,0.509765625,0.7705078125,1
597,1.0,0.6259765625,0.48046875,0.9697265625,1
598,1.0,0.6240234375,0.42578125,0.9794921875,1
599,1.0,0.64453125,0.431640625,0.98046875,1
