model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
phase-encoding,original,False,0.5,0.1,0.1429,"[-5.36999999999999, 3.101999999999999, 6.371999999999998, -12.979000000000017]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
phase-encoding,original,True,0.5,0.1,0.1429,"[-2.4656917106260408, 2.7249187922401115, 2.08940923144089, -2.6345348221690568, -11.899999999999974, -11.899999999999974, -11.899999999999974, -11.899999999999974]",0.7234651778309412,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
phase-encoding,original,True,0.3,0.1,0.15718,"[-2.288691710626039, 0.19991879224011438, 1.8314092314408918, -4.861534822169059, -0.3999999999999999, -0.3999999999999999, -0.3999999999999999, -0.3999999999999999]",0.0763082893739571,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
phase-encoding,angle,True,0.1,0.02,0.20002,"[4.808867787794886, 0.18364354223240772, 0.2150508128410634, 0.19526078736009778, 0.10533157691588982, 0.7382163130199515, 1.0, 1.0]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
phase-encoding,angle,False,0.7,0.02,0.2856999999999999,"[0.31671779399649297, -0.1449599088286749, -0.015428892177752722, 0.09161375832467426]",0.0763082893739571,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,original,True,0.7,0.1,0.2856999999999999,"[-2.4902468564800384, 4.382157334417834, 3.8270419312718444, -4.81774809420912, -27.800000000000125, -27.800000000000125, -27.800000000000125, -27.800000000000125]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,angle,False,0.7,0.1,0.2856999999999999,"[0.5014995333510678, 0.020519693586221587, -0.29753487755538927, -0.3209113996704615]",0.4384092314408935,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,original,True,0.8,0.1,0.2856999999999999,"[-2.410246856480038, 4.219157334417832, 3.8790419312718454, -4.818748094209121, -28.000000000000128, -28.000000000000128, -28.000000000000128, -28.000000000000128]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,angle,False,0.8,0.02,0.2856999999999999,"[0.3248308699172072, -0.048131852356174176, 0.027450635406471954, 0.08558617697783445]",0.7234651778309412,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,angle,False,0.8,0.1,0.2856999999999999,"[0.6239015961123554, -0.0062607377063734065, -0.45007317776166933, -0.3014938672446997]",0.7234651778309412,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
