,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
1106,phase-encoding,angleradius,True,0.7,0.01,0.0,"[0.6690132408839138, 0.4677528597449807, 1.0, 1.0, 1.0, 1.0]","[0.6690132408839138, 0.4677528597449807]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1107,HSGS,angleradius,True,0.7,0.01,0.5,"[0.6690132408839138, 0.4677528597449807, 1.4000000000000004, 1.4000000000000004]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1108,phase-encoding,angleradius,False,0.7,0.02,0.75,"[0.10332781593467555, -0.4747249363319577, 0.43431457505076176, 0.6858407346410201]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1109,HSGS,angleradius,False,0.7,0.02,0.5,"[0.6690132408839138, 0.4677528597449807]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1110,phase-encoding,angleradius,True,0.7,0.02,0.0,"[0.6690132408839138, 0.4677528597449807, 1.0, 1.0, 1.0, 1.0]","[0.6690132408839138, 0.4677528597449807]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1111,HSGS,angleradius,True,0.7,0.02,0.5,"[0.6690132408839138, 0.4677528597449807, 1.8000000000000007, 1.8000000000000007]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1112,phase-encoding,angleradius,False,0.7,0.05,0.25,"[0.10332781593467567, -1.024503650710171, 0.43431457505076215, 2.256637061435918]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
1113,HSGS,angleradius,False,0.7,0.05,0.5,"[0.6690132408839138, 0.46775285974498076]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1114,phase-encoding,angleradius,True,0.7,0.05,0.0,"[0.6690132408839138, 0.4677528597449807, 1.0, 1.0, 1.0, 1.0]","[0.6690132408839138, 0.4677528597449807]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1115,HSGS,angleradius,True,0.7,0.05,0.5,"[0.6690132408839138, 0.46775285974498076, 2.9999999999999973, 2.9999999999999973]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1116,phase-encoding,angleradius,False,0.7,0.1,0.25,"[0.1033278159346756, -2.5167601611653225, 0.43431457505076176, 3.827433388230814]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
1117,HSGS,angleradius,False,0.7,0.1,0.5,"[0.6690132408839138, 0.4677528597449807]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1118,phase-encoding,angleradius,True,0.7,0.1,0.0,"[0.6690132408839138, 0.4677528597449807, 1.0, 1.0, 1.0, 1.0]","[0.6690132408839138, 0.4677528597449807]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1119,HSGS,angleradius,True,0.7,0.1,0.5,"[0.6690132408839138, 0.4677528597449807, 4.999999999999999, 4.999999999999999]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1120,phase-encoding,angleradius,False,0.8,0.01,0.75,"[0.3861705284092953, -0.003486038293488706, 0.717157287525382, 0.8429203673205112]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1121,HSGS,angleradius,False,0.8,0.01,0.5,"[0.6690132408839138, 0.4677528597449807]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1122,phase-encoding,angleradius,True,0.8,0.01,1.0,"[0.14575422280586903, -0.05550615833306463, 0.6622787897390991, 0.7094026795429458, 0.25999999999999934, 0.8062684530286292]","[0.6690132408839138, 0.4677528597449807]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
1123,HSGS,angleradius,True,0.8,0.01,0.5,"[0.6690132408839138, 0.4677528597449807, 1.4000000000000004, 1.4000000000000004]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1124,phase-encoding,angleradius,False,0.8,0.02,0.75,"[0.10332781593467555, -0.4747249363319577, 0.43431457505076176, 0.6858407346410201]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
1125,HSGS,angleradius,False,0.8,0.02,0.5,"[0.6690132408839138, 0.4677528597449807]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1126,phase-encoding,angleradius,True,0.8,0.02,0.5,"[0.273033443419447, 0.07177306228051394, 0.08893813045895901, 0.7800885142487142, 0.4399999999999996, 0.8533923428324761]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1127,HSGS,angleradius,True,0.8,0.02,0.5,"[0.6690132408839138, 0.4677528597449807, 1.8000000000000007, 1.8000000000000007]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1128,phase-encoding,angleradius,False,0.8,0.05,0.25,"[0.03261713781602091, -0.9852337425402986, 0.3636038969321074, 2.2173671532660455]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
1129,HSGS,angleradius,False,0.8,0.05,0.5,"[0.6690132408839138, 0.46775285974498076]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1130,phase-encoding,angleradius,True,0.8,0.05,0.5,"[1.3054093439518069, 1.1041489628128733, -1.2383847656827276, 1.3534291735288517, 1.9000000000000008, 1.2356194490192338]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1131,HSGS,angleradius,True,0.8,0.05,0.5,"[0.6690132408839138, 0.46775285974498076, 2.9999999999999973, 2.9999999999999973]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1132,phase-encoding,angleradius,False,0.8,0.1,0.25,"[0.1033278159346756, -2.5167601611653225, 0.43431457505076176, 3.827433388230814]","[0.6690132408839138, 0.4677528597449807]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
1133,HSGS,angleradius,False,0.8,0.1,0.5,"[0.6690132408839138, 0.4677528597449807]","[0.6690132408839138, 0.4677528597449807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
